Ticker,Security Name,Weight (%),Sector,Country,Asset Class
009150,SAMSUNG ELECTRO MECHANICS LTD,0.28,Information Technology,Korea (South),Equity
3037,UNIMICRON TECHNOLOGY CORP,0.28,Information Technology,Taiwan,Equity
9961,TRIP.COM GROUP LTD,0.26,Consumer Discretionary,China,Equity
2303,UNITED MICRO ELECTRONICS CORP,0.26,Information Technology,Taiwan,Equity
M&M,MAHINDRA AND MAHINDRA LTD,0.26,Consumer Discretionary,India,Equity
OTP,OTP BANK,0.25,Financials,Hungary,Equity
AXISBANK,AXIS BANK LTD,0.25,Financials,India,Equity
1180,THE SAUDI NATIONAL BANK,0.25,Financials,Saudi Arabia,Equity
KFH,KUWAIT FINANCE HOUSE,0.24,Financials,Kuwait,Equity
DELTA.R,DELTA ELECTRONICS (THAILAND) NON-V,0.24,Information Technology,Thailand,Equity
2891,CTBC FINANCIAL HOLDING LTD,0.24,Financials,Taiwan,Equity
2628,CHINA LIFE INSURANCE LTD H,0.24,Financials,China,Equity
012450,HANWHA AEROSPACE LTD,0.24,Industrials,Korea (South),Equity
2382,QUANTA COMPUTER INC,0.23,Information Technology,Taiwan,Equity
2899,ZIJIN MINING GROUP LTD H,0.23,Materials,China,Equity
055550,SHINHAN FINANCIAL GROUP LTD,0.23,Financials,Korea (South),Equity
857,PETROCHINA LTD H,0.23,Energy,China,Equity
GFNORTEO,GPO FINANCE BANORTE,0.23,Financials,Mexico,Equity
LT,LARSEN AND TOUBRO LTD,0.23,Industrials,India,Equity
BAJFINANCE,BAJAJ FINANCE LTD,0.23,Financials,India,Equity
006400,SAMSUNG SDI LTD,0.22,Information Technology,Korea (South),Equity
FSR,FIRSTRAND LTD,0.22,Financials,South Africa,Equity
2360,CHROMA ATE INC,0.22,Information Technology,Taiwan,Equity
000270,KIA CORPORATION CORP,0.21,Consumer Discretionary,Korea (South),Equity
3017,ASIA VITAL COMPONENTS LTD,0.21,Information Technology,Taiwan,Equity
2881,FUBON FINANCIAL HOLDING LTD,0.21,Financials,Taiwan,Equity
005490,POSCO,0.21,Materials,Korea (South),Equity
